round,step,region,before,after,delta,region_dist_center_norm,is_current_conflict_region
1,0,11,5,4,-1,0.1613966246462753,1
1,1,34,4,3,-1,0.708747946347841,1
1,2,26,3,2,-1,0.20165292067048704,1
1,3,44,2,0,-2,0.4396339480735708,1
2,0,27,4,5,1,0.2770622411610402,0
2,1,26,5,4,-1,0.8472557604710943,1
2,2,38,4,2,-2,0.1915215338423103,1
2,3,22,2,1,-1,0.44744549263532424,1
2,4,15,1,1,0,0.5761512019156774,1
2,5,9,1,0,-1,0.8181359746576637,1
3,0,42,4,5,1,0.6352377279053542,1
3,1,43,5,3,-2,0.3249286193201461,1
3,2,4,3,3,0,0.6127957834378188,0
3,3,26,3,4,1,0.6462668089742368,0
3,4,1,4,3,-1,0.475052978491466,1
3,5,13,3,2,-1,0.8393588826274504,1
3,6,40,2,1,-1,0.799539545912007,1
3,7,11,1,0,-1,0.8082675608837383,1
4,0,39,6,5,-1,0.29576283431506356,1
4,1,8,5,2,-3,0.6952715222318228,1
4,2,36,2,1,-1,0.5070457924927958,1
4,3,23,1,1,0,0.7529334058819187,0
4,4,16,1,1,0,0.5968086155031218,0
4,5,25,1,1,0,0.6226847388541363,0
4,6,12,1,0,-1,0.5634069451933621,1
5,0,16,5,2,-3,0.7895176577716747,1
5,1,13,2,2,0,0.7767067644093278,1
5,2,28,2,1,-1,0.4074004218633553,1
5,3,0,1,0,-1,0.7201890023945967,1
6,0,33,7,5,-2,0.6512818187635391,1
6,1,26,5,3,-2,0.5193356752317952,1
6,2,5,3,1,-2,0.312469830874991,1
6,3,7,1,0,-1,0.4576205269671239,1
7,0,17,4,3,-1,0.5394018509853976,1
7,1,43,3,2,-1,0.3891687065498411,1
7,2,29,2,2,0,0.38708995765301607,0
7,3,23,2,1,-1,0.2791345381070267,1
7,4,17,1,0,-1,0.5394018509853976,1
8,0,14,4,5,1,0.8311867234831207,0
8,1,33,5,6,1,0.5257872974480045,1
8,2,17,6,5,-1,0.4297060657060408,1
8,3,9,5,4,-1,0.7414799600261169,1
8,4,32,4,3,-1,0.3189713758148396,1
8,5,14,3,2,-1,0.8311867234831207,1
8,6,1,2,2,0,0.8647067955808208,0
8,7,24,2,1,-1,0.7406400730735028,1
8,8,32,1,0,-1,0.3189713758148396,1
9,0,23,4,3,-1,0.478604825914451,1
9,1,10,3,2,-1,0.9075524515322283,1
9,2,31,2,3,1,0.5092505273291941,0
9,3,23,3,2,-1,0.478604825914451,1
9,4,35,2,2,0,0.12240859255616571,0
9,5,14,2,1,-1,0.4677225754238169,1
9,6,1,1,0,-1,0.26749877231799307,1
10,0,39,4,3,-1,0.20370021093167764,1
10,1,26,3,2,-1,0.5761512019156774,1
10,2,17,2,3,1,0.5938830654562266,0
10,3,35,3,2,-1,0.5984285175855729,1
10,4,32,2,2,0,0.8124102248519423,1
10,5,20,2,0,-2,0.7293491670447562,1
11,0,33,6,7,1,0.23765024608695728,1
11,1,11,7,4,-3,0.4825803740594782,1
11,2,37,4,4,0,0.5912571878976728,1
11,3,44,4,4,0,0.43872578181219923,0
11,4,24,4,7,3,0.39853350352857725,0
11,5,34,7,5,-2,0.5624855922543935,1
11,6,24,5,2,-3,0.39853350352857725,1
11,7,33,2,0,-2,0.23765024608695728,1
12,0,38,9,10,1,0.2770622411610402,0
12,1,5,10,7,-3,0.5638670571076895,1
12,2,13,7,4,-3,0.03864939758404989,1
12,3,22,4,4,0,0.5624855922543935,0
12,4,36,4,3,-1,0.4553052872132228,1
12,5,40,3,1,-2,0.2969415327281133,1
12,6,36,1,0,-1,0.4553052872132228,1
13,0,1,8,7,-1,0.5619730768019529,1
13,1,27,7,9,2,0.13664625560228308,0
13,2,36,9,7,-2,0.3759113714051263,1
13,3,10,7,4,-3,0.5316731595141115,1
13,4,5,4,3,-1,0.7627206163394377,1
13,5,34,3,2,-1,0.33199072626151993,1
13,6,29,2,2,0,0.41993874281595206,0
14,0,31,6,4,-2,0.4490277035631482,1
14,1,23,4,4,0,0.4767532734289498,1
14,2,12,4,5,1,0.49942336504861046,0
14,3,44,5,4,-1,0.7114942490210595,1
14,4,15,4,3,-1,0.6445143918415767,1
14,5,13,3,2,-1,0.7379460111367884,1
14,6,7,2,0,-2,0.16116793643414268,1
15,0,3,5,5,0,0.684747886488007,1
15,1,21,5,5,0,0.7908245138527671,1
15,2,27,5,4,-1,0.6650741698880525,1
15,3,10,4,2,-2,0.8163907005433182,1
15,4,20,2,1,-1,0.83740361432108,1
15,5,0,1,0,-1,0.643440498745971,1
16,0,6,10,11,1,0.2545120717213887,1
16,1,25,11,11,0,0.454650139216604,1
16,2,40,11,9,-2,0.19796102181874214,1
16,3,8,9,7,-2,0.8472557604710943,1
16,4,0,7,5,-2,0.6275156839553562,1
16,5,6,5,2,-3,0.2545120717213887,1
16,6,23,2,4,2,0.37774036123558924,0
16,7,23,4,2,-2,0.37774036123558924,1
17,0,30,10,11,1,0.42902959110240146,1
17,1,36,11,9,-2,0.618524546083568,1
17,2,18,9,6,-3,0.5171115293574251,1
17,3,37,6,5,-1,0.8413583169062904,1
17,4,19,5,3,-2,0.12883132528016616,1
17,5,26,3,3,0,0.36722577766849696,0
17,6,31,3,3,0,0.26559258100921596,0
17,7,30,3,1,-2,0.42902959110240146,1
17,8,11,1,4,3,0.6008863747631626,0
17,9,11,4,1,-3,0.6008863747631626,1
17,10,3,1,2,1,0.11877661309124528,0
17,11,3,2,1,-1,0.11877661309124528,1
17,12,19,1,0,-1,0.12883132528016616,1
18,0,31,7,7,0,0.3007597571738442,1
18,1,26,7,9,2,0.20972220313935896,0
18,2,23,9,7,-2,0.5771505976397533,1
18,3,28,7,6,-1,0.4897285216283257,1
18,4,16,6,5,-1,0.38708995765301607,1
18,5,41,5,3,-2,0.3007597571738442,1
19,0,21,5,4,-1,0.7054581969735665,1
19,1,18,4,2,-2,0.8374810334137728,1
19,2,32,2,1,-1,0.6127957834378188,1
19,3,1,1,0,-1,0.795075451873746,1
20,0,1,4,6,2,0.8825558164914491,0
20,1,26,6,4,-2,0.26515825106854213,1
20,2,5,4,3,-1,0.5619730768019529,1
20,3,4,3,1,-2,0.6241638020753172,1
20,4,39,1,1,0,0.8112282578331785,0
20,5,1,1,0,-1,0.8825558164914491,1
21,0,31,6,6,0,0.5503676628539804,1
21,1,18,6,4,-2,0.44030460138513444,1
21,2,5,4,3,-1,0.7812108911373007,1
21,3,25,3,3,0,0.7518993929346104,0
21,4,31,3,0,-3,0.5503676628539804,1
22,0,41,8,7,-1,0.7743287817462708,1
22,1,22,7,5,-2,0.4568797405211469,1
22,2,21,5,6,1,0.19591258953571414,0
22,3,36,6,4,-2,0.7776299077008509,1
22,4,42,4,3,-1,0.5092505273291941,1
22,5,35,3,2,-1,0.47091525805329815,1
22,6,7,2,1,-1,0.1677008027526737,1
22,7,3,1,0,-1,0.8983618101348219,1
23,0,23,6,7,1,0.4542774751054453,0
23,1,13,7,5,-2,0.2860519640573698,1
23,2,30,5,3,-2,0.580634936479524,1
23,3,6,3,1,-2,0.8594121314120816,1
23,4,12,1,0,-1,0.6771308766157322,1
24,0,1,4,4,0,0.3618904948882416,1
24,1,24,4,2,-2,0.6971340262979613,1
24,2,17,2,1,-1,0.6892776903685728,1
24,3,16,1,0,-1,0.3941714585984485,1
25,0,42,10,7,-3,0.6344207015506481,1
25,1,4,7,6,-1,0.6445143918415768,1
25,2,31,6,5,-1,0.8351984660183862,1
25,3,5,5,7,2,0.5331344719160713,0
25,4,35,7,7,0,0.34640038323588795,1
25,5,39,7,4,-3,0.39659468528756187,1
25,6,5,4,2,-2,0.5331344719160713,1
25,7,33,2,2,0,0.7682766185792729,0
25,8,42,2,2,0,0.6344207015506481,0
25,9,35,2,0,-2,0.34640038323588795,1
26,0,1,7,6,-1,0.6937779189552487,1
26,1,37,6,4,-2,0.5353189610330403,1
26,2,28,4,3,-1,0.8294784806850345,1
26,3,31,3,2,-1,0.8948909852706485,1
26,4,43,2,2,0,0.6271114633457587,0
26,5,1,2,0,-2,0.6937779189552487,1
27,0,28,4,3,-1,0.5031024082580213,1
27,1,5,3,2,-1,0.6919813395416519,1
27,2,6,2,1,-1,0.5381696349819428,1
27,3,35,1,1,0,0.7151299101434248,1
27,4,11,1,0,-1,0.5485552506999996,1
28,0,39,9,8,-1,0.3759113714051263,1
28,1,1,8,8,0,0.29006922752037073,1
28,2,40,8,6,-2,0.10185010546583882,1
28,3,1,6,4,-2,0.29006922752037073,1
28,4,14,4,2,-2,0.6771308766157322,1
28,5,8,2,1,-1,0.4088125592756227,1
28,6,13,1,0,-1,0.6798489241772271,1
29,0,31,4,2,-2,0.7077584926439497,1
29,1,26,2,3,1,0.49942336504861046,0
29,2,7,3,1,-2,0.18970898643515424,1
29,3,6,1,0,-1,0.4788038346057757,1
30,0,31,7,6,-1,0.30403768177807605,1
30,1,13,6,4,-2,0.5559933728970105,1
30,2,10,4,2,-2,0.5011656536995854,1
30,3,6,2,1,-1,0.600688345376916,1
30,4,1,1,0,-1,0.8012496003642744,1
