candidateIndex,seedAttemptIndex,seed,targetLabel,difficultyLabel,difficultyScore,conditionType,generationMode,optimalLength,solvedWithinBound,planningRequirementCollected,nCollectedOptimalSolutions,solutionCollectionCapped,initialConflictEdges,initialConflictRegions,adjacentNonconflictRegions,adjacencyPairs,searchNodes,elapsedSeconds
2,2,9001,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,14,103,2962,0.817
4,4,9003,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,16,105,1369,1.3306
6,6,9005,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,13,103,1424,1.0418
8,8,9007,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,20,106,1192,1.0987
10,10,9009,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,20,103,2105,1.1964
12,12,9011,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,7,10,20,108,808,1.6023
14,14,9013,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,17,105,1525,0.7423
16,16,9015,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,20,107,3248,1.8673
18,18,9017,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,106,2008,1.7546
20,20,9019,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,17,109,1703,0.8325
22,22,9021,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,9,19,101,1773,1.3729
23,23,9022,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,4,7,16,103,1516,0.5741
24,24,9023,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,107,2540,1.6372
25,25,9024,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,4,7,17,105,5960,0.8021
26,26,9025,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,20,104,2871,1.1549
28,28,9027,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,22,106,2371,1.8898
30,30,9029,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,14,101,2629,0.6621
31,32,9031,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,12,107,1068,0.5859
33,34,9033,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,20,105,2043,2.5436
35,36,9035,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,102,2043,0.709
37,38,9037,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,22,103,908,1.6724
39,40,9039,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,7,8,17,106,1215,1.3956
41,42,9041,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,7,19,110,1270,1.5578
43,44,9043,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,17,106,1328,1.1489
44,45,9044,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,4,7,16,110,683,1.6379
45,46,9045,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,15,105,2732,1.3065
47,48,9047,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,8,17,102,1801,1.6413
49,50,9049,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,15,105,4127,0.8134
51,52,9051,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,16,106,1700,0.9063
53,54,9053,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,9,21,105,3222,2.1567
54,55,9054,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,6,9,18,103,2785,0.9624
55,56,9055,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,14,104,2615,1.2745
56,57,9056,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,7,10,22,100,3196,1.5398
57,58,9057,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,13,103,753,1.0847
59,60,9059,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,9,104,939,2.9153
61,62,9061,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,14,106,3088,0.7325
63,64,9063,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,13,101,4772,0.5468
64,65,9064,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,6,7,16,100,2532,0.6418
65,66,9065,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,12,107,1372,3.5446
67,68,9067,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,17,107,2828,1.0516
69,70,9069,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,6,13,109,1071,6.0865
71,72,9071,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,7,16,107,4197,1.7345
73,74,9073,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,18,107,2050,1.0398
75,76,9075,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,13,104,3062,0.608
76,77,9076,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,6,9,17,103,1046,0.7847
77,78,9077,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,14,105,3308,1.0081
79,80,9079,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,16,106,992,0.9842
80,81,9080,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,4,7,17,107,863,0.5915
81,82,9081,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,14,110,2055,0.9393
83,84,9083,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,3,6,12,109,3302,0.418
85,86,9085,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,5,8,104,1267,0.2512
86,87,9086,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,7,10,18,103,2587,1.057
87,88,9087,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,13,102,3784,1.2346
89,90,9089,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,16,105,1559,1.8678
91,92,9091,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,5,8,18,102,3123,1.0936
92,93,9092,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,5,8,19,107,3115,1.064
93,94,9093,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,9,16,103,1945,2.5344
95,96,9095,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,12,98,756,0.5662
97,98,9097,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,6,9,20,106,1742,1.447
99,100,9099,,medium,4.1,requires_adjacent_nonconflict_pair,legacy,4,True,1,1,False,4,7,17,102,2955,0.8111
100,101,9100,,medium,4.1,requires_nonconflict_region,legacy,4,True,1,1,False,5,8,15,107,1166,0.7067
5,5,9004,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,10,22,105,17275,2.1051
13,13,9012,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,6,10,22,107,2058,7.1099
19,19,9018,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,11,19,102,5248,1.3296
27,27,9026,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,10,20,104,2222,1.288
34,35,9034,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,4,8,24,103,6814,1.6615
38,39,9038,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,6,10,18,107,3835,1.1708
46,47,9046,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,10,14,109,1504,0.7317
58,59,9058,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,6,10,17,110,1037,0.9596
60,61,9060,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,10,12,21,106,3247,1.7193
68,69,9068,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,4,8,17,101,14552,1.037
74,75,9074,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,7,11,14,102,1861,0.7654
78,79,9078,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,8,12,16,107,1886,1.0592
82,83,9082,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,6,10,18,110,3596,1.1301
84,85,9084,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,6,10,18,103,3744,1.1714
88,89,9088,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,9,10,13,102,1305,0.5511
96,97,9096,,medium,5.1,requires_nonconflict_region,legacy,5,True,1,1,False,8,10,22,103,1821,1.5349
1,1,9000,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,8,11,18,108,12982,1.6727
3,3,9002,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,5,10,19,107,11663,1.5329
7,7,9006,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,11,13,22,101,12416,2.3363
9,9,9008,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,6,11,22,107,7330,1.9579
11,11,9010,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,5,10,18,104,10181,1.4139
15,15,9014,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,6,11,16,102,39853,2.1374
17,17,9016,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,9,11,16,105,2636,1.0013
21,21,9020,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,15,23,108,13230,3.023
29,29,9028,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,5,10,19,105,15345,1.6445
32,33,9032,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,7,12,25,105,13650,2.8641
36,37,9036,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,12,19,103,3947,1.4712
40,41,9040,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,7,10,21,105,4970,1.5248
42,43,9042,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,15,18,102,18162,2.3827
48,49,9048,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,11,16,21,108,9000,2.8043
50,51,9050,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,7,12,19,105,12379,1.7709
52,53,9052,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,9,13,23,102,5322,2.219
62,63,9062,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,8,12,20,109,5214,1.784
66,67,9066,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,7,11,14,102,36650,2.1718
70,71,9070,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,8,13,23,101,22424,2.9135
72,73,9072,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,8,12,18,107,14259,2.6086
90,91,9090,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,14,27,107,6730,3.5102
94,95,9094,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,6,11,25,104,8573,2.3419
98,99,9098,,other,6.1,requires_nonconflict_region,legacy,6,True,1,1,False,10,14,21,105,4555,2.064
