round,condition_type,agent_step,terminated,reason,search_depth,region,old_color,new_color,n_conflict_edges_before,n_conflict_edges_after,conflict_delta,conflict_regions_before,selected_found_solution_within_depth,planning_depth_used,tree_iterations_used,pruning_thresh,lapse_rate,selected_by_lapse,expanded_root_children,improved_conflicts
1,requires_nonconflict_region,0,False,,0,12,3,1,11,7,-4,3 7 8 12 13 15 20 26 30 31 32 34 44,False,4,20,0,0.3,False,2,True
1,requires_nonconflict_region,1,False,,0,2,3,2,7,5,-2,3 7 8 12 15 26 30 31 32 34 44,False,4,20,0,0.3,True,4,True
1,requires_nonconflict_region,2,False,,0,33,2,0,5,3,-2,8 12 26 30 31 32 34 44,True,4,20,0,0.3,True,3,True
1,requires_nonconflict_region,3,False,,0,25,3,0,3,1,-2,8 26 31 32 44,True,4,20,0,0.3,True,2,True
1,requires_nonconflict_region,4,False,,1,23,3,2,1,1,0,32 44,True,4,20,0,0.3,False,1,False
1,requires_nonconflict_region,5,False,,0,31,0,3,1,0,-1,32 44,True,4,20,0,0.3,True,2,True
2,requires_nonconflict_region,0,False,,0,26,2,0,4,2,-2,5 21 22 27 30 44,True,4,20,0,0.3,False,1,True
2,requires_nonconflict_region,1,False,,0,43,0,1,2,1,-1,21 22 30 44,True,4,20,0,0.3,True,2,True
2,requires_nonconflict_region,2,False,,1,14,3,1,1,1,0,21 22,True,4,20,0,0.3,False,3,False
2,requires_nonconflict_region,3,False,,0,20,2,3,1,0,-1,21 22,True,4,20,0,0.3,True,1,True
3,requires_nonconflict_region,0,False,,0,9,1,0,6,4,-2,2 10 18 22 24 25 26 36 43,True,4,20,0,0.3,False,3,True
3,requires_nonconflict_region,1,False,,0,25,0,1,4,2,-2,2 18 22 24 26 43,True,4,20,0,0.3,False,1,True
3,requires_nonconflict_region,2,False,,1,19,1,0,2,2,0,2 22 43,True,4,20,0,0.3,False,1,False
3,requires_nonconflict_region,3,False,,0,1,2,1,2,0,-2,2 22 43,True,4,20,0,0.3,True,1,True
4,requires_nonconflict_region,0,False,,0,43,2,3,4,2,-2,8 12 20 24 28 38 44,True,4,20,0,0.3,True,1,True
4,requires_nonconflict_region,1,False,,0,27,3,0,2,1,-1,12 20 28 38,True,4,20,0,0.3,True,2,True
4,requires_nonconflict_region,2,False,,1,3,2,3,1,1,0,12 20,True,4,20,0,0.3,True,1,False
4,requires_nonconflict_region,3,False,,0,11,1,2,1,0,-1,12 20,True,4,20,0,0.3,False,2,True
5,requires_nonconflict_region,0,False,,0,15,1,2,3,2,-1,5 16 21 32 37 40,False,4,20,0,0.3,False,3,True
5,requires_nonconflict_region,1,False,,0,39,3,1,2,1,-1,5 21 32 40,True,4,20,0,0.3,False,1,True
5,requires_nonconflict_region,2,False,,1,21,1,2,1,1,0,5 32,True,4,20,0,0.3,False,9,False
5,requires_nonconflict_region,3,False,,3,2,0,2,1,1,0,5 32,False,4,20,0,0.3,True,8,False
5,requires_nonconflict_region,4,False,,2,41,2,3,1,1,0,5 32,True,4,20,0,0.3,False,9,False
5,requires_nonconflict_region,5,False,,1,6,1,2,1,1,0,5 32,True,4,20,0,0.3,False,1,False
5,requires_nonconflict_region,6,False,,0,31,3,1,1,0,-1,5 32,True,4,20,0,0.3,True,1,True
6,requires_adjacent_nonconflict_pair,0,False,,0,10,1,3,8,5,-3,3 5 11 12 13 21 24 29 30 40,False,4,20,0,0.3,False,1,True
6,requires_adjacent_nonconflict_pair,1,False,,0,29,0,1,5,3,-2,3 5 12 21 24 29 30 40,False,4,20,0,0.3,False,1,True
6,requires_adjacent_nonconflict_pair,2,False,,0,23,1,2,3,2,-1,3 5 12 21 24,False,4,20,0,0.3,False,1,True
6,requires_adjacent_nonconflict_pair,3,False,,1,21,0,2,2,2,0,3 5 12 21,False,4,20,0,0.3,False,1,False
6,requires_adjacent_nonconflict_pair,4,False,,0,4,1,0,2,1,-1,3 5 12 21,False,4,20,0,0.3,False,1,True
6,requires_adjacent_nonconflict_pair,5,False,,3,8,1,2,1,1,0,3 12,False,4,20,0,0.3,False,6,False
6,requires_adjacent_nonconflict_pair,6,False,,2,25,3,1,1,1,0,3 12,False,4,20,0,0.3,False,9,False
6,requires_adjacent_nonconflict_pair,7,False,,2,36,0,3,1,1,0,3 12,False,4,20,0,0.3,True,9,False
6,requires_adjacent_nonconflict_pair,8,False,,1,18,0,3,1,1,0,3 12,True,4,20,0,0.3,False,8,False
6,requires_adjacent_nonconflict_pair,9,False,,4,1,0,3,1,1,0,3 12,True,4,20,0,0.3,True,9,False
6,requires_adjacent_nonconflict_pair,10,False,,1,19,2,0,1,1,0,3 12,True,4,20,0,0.3,False,9,False
6,requires_adjacent_nonconflict_pair,11,False,,1,10,3,2,1,1,0,3 12,True,4,20,0,0.3,False,1,False
6,requires_adjacent_nonconflict_pair,12,False,,0,11,1,3,1,0,-1,3 12,True,4,20,0,0.3,False,1,True
7,requires_adjacent_nonconflict_pair,0,False,,0,33,3,2,6,4,-2,5 11 17 20 21 29 34 38 43,False,4,20,0,0.3,True,2,True
7,requires_adjacent_nonconflict_pair,1,False,,0,42,0,3,4,2,-2,5 11 17 20 38 43,True,4,20,0,0.3,True,1,True
7,requires_adjacent_nonconflict_pair,2,False,,4,14,1,0,2,2,0,17 20 38,True,4,20,0,0.3,True,8,False
7,requires_adjacent_nonconflict_pair,3,False,,5,40,0,1,2,2,0,17 20 38,True,4,20,0,0.3,True,8,False
7,requires_adjacent_nonconflict_pair,4,False,,1,9,0,1,2,2,0,17 20 38,True,4,20,0,0.3,False,8,False
7,requires_adjacent_nonconflict_pair,5,False,,1,17,3,0,2,2,0,17 20 38,True,4,20,0,0.3,False,1,False
7,requires_adjacent_nonconflict_pair,6,False,,0,19,2,3,2,0,-2,17 20 38,True,4,20,0,0.3,True,1,True
8,requires_adjacent_nonconflict_pair,0,False,,0,35,0,2,5,3,-2,4 7 15 19 22 28 32 36 40,False,4,20,0,0.3,False,1,True
8,requires_adjacent_nonconflict_pair,1,False,,0,14,0,1,3,2,-1,4 7 15 22 28 32,False,4,20,0,0.3,False,4,True
8,requires_adjacent_nonconflict_pair,2,False,,0,27,1,2,2,1,-1,4 7 22 28,True,4,20,0,0.3,False,1,True
8,requires_adjacent_nonconflict_pair,3,False,,2,13,3,0,1,1,0,4 7,True,4,20,0,0.3,False,6,False
8,requires_adjacent_nonconflict_pair,4,False,,1,5,2,3,1,1,0,4 7,True,4,20,0,0.3,True,1,False
8,requires_adjacent_nonconflict_pair,5,False,,0,3,1,2,1,0,-1,4 7,True,4,20,0,0.3,False,1,True
9,requires_adjacent_nonconflict_pair,0,False,,0,13,2,1,8,5,-3,2 13 14 15 16 25 26 28 29 38 39 43,False,4,20,0,0.3,False,2,True
9,requires_adjacent_nonconflict_pair,1,False,,0,12,2,3,5,4,-1,2 13 15 25 26 29 38 39,False,4,20,0,0.3,False,1,True
9,requires_adjacent_nonconflict_pair,2,False,,1,42,2,3,4,4,0,2 15 25 26 38 39,False,4,20,0,0.3,True,3,False
9,requires_adjacent_nonconflict_pair,3,False,,0,25,0,2,4,3,-1,2 15 25 26 38 39,False,4,20,0,0.3,False,1,True
9,requires_adjacent_nonconflict_pair,4,False,,1,18,3,0,3,3,0,2 15 25 38 39,False,4,20,0,0.3,False,1,False
9,requires_adjacent_nonconflict_pair,5,False,,0,1,2,3,3,2,-1,2 15 25 38 39,False,4,20,0,0.3,False,1,True
9,requires_adjacent_nonconflict_pair,6,False,,2,2,1,0,2,2,0,15 25 38 39,False,4,20,0,0.3,False,8,False
9,requires_adjacent_nonconflict_pair,7,False,,2,6,2,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,8,False,,2,9,0,2,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,9,False,,1,36,1,0,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,10,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,11,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,12,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,13,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,14,False,,2,9,2,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,13,False
9,requires_adjacent_nonconflict_pair,15,False,,2,18,0,2,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,16,False,,2,9,1,2,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,17,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,18,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,19,False,,2,30,1,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,13,False
9,requires_adjacent_nonconflict_pair,20,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,21,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,22,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,23,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,24,False,,2,30,0,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,14,False
9,requires_adjacent_nonconflict_pair,25,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,26,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,27,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,28,False,,2,6,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,10,False
9,requires_adjacent_nonconflict_pair,29,False,,2,18,2,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,30,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,31,False,,4,40,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,32,False,,2,30,1,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,10,False
9,requires_adjacent_nonconflict_pair,33,False,,3,12,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,34,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,35,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,36,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,37,False,,4,16,2,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,38,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,39,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,40,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,41,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,42,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,43,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,44,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,45,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,46,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,47,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,48,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,49,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,50,False,,2,18,0,2,2,2,0,15 25 38 39,False,4,20,0,0.3,True,10,False
9,requires_adjacent_nonconflict_pair,51,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,52,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,9,False
9,requires_adjacent_nonconflict_pair,53,False,,5,43,0,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,10,False
9,requires_adjacent_nonconflict_pair,54,False,,2,6,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,55,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,56,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,57,False,,2,30,0,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,10,False
9,requires_adjacent_nonconflict_pair,58,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,59,False,,2,18,2,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,60,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,61,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,62,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,63,False,,4,17,2,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,9,False
9,requires_adjacent_nonconflict_pair,64,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,65,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,66,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,67,False,,1,36,0,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,13,False
9,requires_adjacent_nonconflict_pair,68,False,,1,36,1,0,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,69,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,70,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,71,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,72,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,73,False,,3,39,1,2,2,2,0,15 25 38 39,False,4,20,0,0.3,True,13,False
9,requires_adjacent_nonconflict_pair,74,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,75,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,76,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,77,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,78,False,,5,43,1,2,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,79,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,80,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,9,False
9,requires_adjacent_nonconflict_pair,81,False,,2,30,1,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
9,requires_adjacent_nonconflict_pair,82,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,83,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,10,False
9,requires_adjacent_nonconflict_pair,84,False,,3,22,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,12,False
9,requires_adjacent_nonconflict_pair,85,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,86,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,87,False,,4,16,1,2,2,2,0,15 25 38 39,False,4,20,0,0.3,True,14,False
9,requires_adjacent_nonconflict_pair,88,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,17,False
9,requires_adjacent_nonconflict_pair,89,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,15,False
9,requires_adjacent_nonconflict_pair,90,False,,3,4,0,3,2,2,0,15 25 38 39,False,4,20,0,0.3,True,17,False
9,requires_adjacent_nonconflict_pair,91,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,17,False
9,requires_adjacent_nonconflict_pair,92,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,15,False
9,requires_adjacent_nonconflict_pair,93,False,,5,43,2,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,17,False
9,requires_adjacent_nonconflict_pair,94,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,16,False
9,requires_adjacent_nonconflict_pair,95,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,96,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,16,False
9,requires_adjacent_nonconflict_pair,97,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,98,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,16,False
9,requires_adjacent_nonconflict_pair,99,False,,3,31,0,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,14,False
9,requires_adjacent_nonconflict_pair,100,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,101,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,102,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,103,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,104,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,105,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,106,False,,2,15,2,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,12,False
9,requires_adjacent_nonconflict_pair,107,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,108,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,109,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,110,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,111,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,112,False,,3,31,1,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,13,False
9,requires_adjacent_nonconflict_pair,113,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,15,False
9,requires_adjacent_nonconflict_pair,114,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,115,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,15,False
9,requires_adjacent_nonconflict_pair,116,False,,3,12,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,True,13,False
9,requires_adjacent_nonconflict_pair,117,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,118,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,16,False
9,requires_adjacent_nonconflict_pair,119,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,13,False
9,requires_adjacent_nonconflict_pair,120,False,,3,21,1,2,2,2,0,15 25 38 39,False,4,20,0,0.3,True,16,False
9,requires_adjacent_nonconflict_pair,121,False,,3,39,2,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,15,False
9,requires_adjacent_nonconflict_pair,122,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,123,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,124,False,,1,7,3,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,14,False
9,requires_adjacent_nonconflict_pair,125,False,,1,7,1,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,126,False,,2,2,0,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,14,False
9,requires_adjacent_nonconflict_pair,127,False,,4,16,2,1,2,2,0,15 25 38 39,False,4,20,0,0.3,True,12,False
9,requires_adjacent_nonconflict_pair,128,False,,1,36,0,1,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,129,False,,1,7,3,0,2,2,0,15 25 38 39,False,4,20,0,0.3,False,12,False
9,requires_adjacent_nonconflict_pair,130,False,,4,35,3,2,2,2,0,15 25 38 39,False,4,20,0,0.3,True,9,False
9,requires_adjacent_nonconflict_pair,131,False,,1,7,0,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,8,False
9,requires_adjacent_nonconflict_pair,132,False,,1,7,3,0,2,2,0,15 25 38 39,False,4,20,0,0.3,False,11,False
9,requires_adjacent_nonconflict_pair,133,False,,1,7,0,3,2,2,0,15 25 38 39,False,4,20,0,0.3,False,8,False
9,requires_adjacent_nonconflict_pair,134,False,,1,7,3,0,2,2,0,15 25 38 39,False,4,20,0,0.3,True,11,False
