round,condition_type,agent_step,terminated,reason,search_depth,region,old_color,new_color,n_conflict_edges_before,n_conflict_edges_after,conflict_delta,conflict_regions_before,selected_found_solution_within_depth,planning_depth_used,tree_iterations_used,expanded_root_children,improved_conflicts
1,requires_nonconflict_region,0,False,,0,12,3,1,11,7,-4,3 7 8 12 13 15 20 26 30 31 32 34 44,False,4,20,2,True
1,requires_nonconflict_region,1,False,,0,2,3,2,7,5,-2,3 7 8 12 15 26 30 31 32 34 44,False,4,20,4,True
1,requires_nonconflict_region,2,False,,0,25,3,0,5,3,-2,8 12 26 30 31 32 34 44,True,4,20,3,True
1,requires_nonconflict_region,3,False,,0,33,2,0,3,1,-2,12 30 32 34 44,True,4,20,1,True
1,requires_nonconflict_region,4,False,,1,23,3,2,1,1,0,32 44,True,4,20,1,False
1,requires_nonconflict_region,5,False,,0,31,0,3,1,0,-1,32 44,True,4,20,2,True
2,requires_nonconflict_region,0,False,,0,26,2,0,4,2,-2,5 21 22 27 30 44,True,4,20,1,True
2,requires_nonconflict_region,1,False,,0,43,0,1,2,1,-1,21 22 30 44,True,4,20,2,True
2,requires_nonconflict_region,2,False,,1,14,3,1,1,1,0,21 22,True,4,20,3,False
2,requires_nonconflict_region,3,False,,0,20,2,3,1,0,-1,21 22,True,4,20,1,True
3,requires_nonconflict_region,0,False,,0,9,1,0,6,4,-2,2 10 18 22 24 25 26 36 43,True,4,20,3,True
3,requires_nonconflict_region,1,False,,0,25,0,1,4,2,-2,2 18 22 24 26 43,True,4,20,1,True
3,requires_nonconflict_region,2,False,,1,19,1,0,2,2,0,2 22 43,True,4,20,1,False
3,requires_nonconflict_region,3,False,,0,1,2,1,2,0,-2,2 22 43,True,4,20,1,True
4,requires_nonconflict_region,0,False,,0,43,2,3,4,2,-2,8 12 20 24 28 38 44,True,4,20,1,True
4,requires_nonconflict_region,1,False,,0,27,3,0,2,1,-1,12 20 28 38,True,4,20,2,True
4,requires_nonconflict_region,2,False,,1,3,2,3,1,1,0,12 20,True,4,20,1,False
4,requires_nonconflict_region,3,False,,0,11,1,2,1,0,-1,12 20,True,4,20,2,True
5,requires_nonconflict_region,0,False,,0,15,1,2,3,2,-1,5 16 21 32 37 40,False,4,20,3,True
5,requires_nonconflict_region,1,False,,0,39,3,1,2,1,-1,5 21 32 40,True,4,20,1,True
5,requires_nonconflict_region,2,False,,1,21,1,2,1,1,0,5 32,True,4,20,9,False
5,requires_nonconflict_region,3,False,,2,41,2,3,1,1,0,5 32,True,4,20,8,False
5,requires_nonconflict_region,4,False,,1,6,1,2,1,1,0,5 32,True,4,20,1,False
5,requires_nonconflict_region,5,False,,0,31,3,1,1,0,-1,5 32,True,4,20,1,True
6,requires_adjacent_nonconflict_pair,0,False,,0,10,1,3,8,5,-3,3 5 11 12 13 21 24 29 30 40,False,4,20,1,True
6,requires_adjacent_nonconflict_pair,1,False,,0,29,0,1,5,3,-2,3 5 12 21 24 29 30 40,False,4,20,1,True
6,requires_adjacent_nonconflict_pair,2,False,,0,23,1,2,3,2,-1,3 5 12 21 24,False,4,20,1,True
6,requires_adjacent_nonconflict_pair,3,False,,1,21,0,2,2,2,0,3 5 12 21,False,4,20,1,False
6,requires_adjacent_nonconflict_pair,4,False,,0,4,1,0,2,1,-1,3 5 12 21,False,4,20,1,True
6,requires_adjacent_nonconflict_pair,5,False,,3,8,1,2,1,1,0,3 12,False,4,20,6,False
6,requires_adjacent_nonconflict_pair,6,False,,2,25,3,1,1,1,0,3 12,False,4,20,9,False
6,requires_adjacent_nonconflict_pair,7,False,,1,18,0,3,1,1,0,3 12,False,4,20,9,False
6,requires_adjacent_nonconflict_pair,8,False,,2,36,0,3,1,1,0,3 12,True,4,20,8,False
6,requires_adjacent_nonconflict_pair,9,False,,1,19,2,0,1,1,0,3 12,True,4,20,9,False
6,requires_adjacent_nonconflict_pair,10,False,,1,10,3,2,1,1,0,3 12,True,4,20,1,False
6,requires_adjacent_nonconflict_pair,11,False,,0,11,1,3,1,0,-1,3 12,True,4,20,1,True
7,requires_adjacent_nonconflict_pair,0,False,,0,33,3,2,6,4,-2,5 11 17 20 21 29 34 38 43,False,4,20,2,True
7,requires_adjacent_nonconflict_pair,1,False,,0,42,0,3,4,2,-2,5 11 17 20 38 43,True,4,20,1,True
7,requires_adjacent_nonconflict_pair,2,False,,1,9,0,1,2,2,0,17 20 38,True,4,20,8,False
7,requires_adjacent_nonconflict_pair,3,False,,1,17,3,0,2,2,0,17 20 38,True,4,20,1,False
7,requires_adjacent_nonconflict_pair,4,False,,0,19,2,3,2,0,-2,17 20 38,True,4,20,1,True
8,requires_adjacent_nonconflict_pair,0,False,,0,35,0,2,5,3,-2,4 7 15 19 22 28 32 36 40,False,4,20,1,True
8,requires_adjacent_nonconflict_pair,1,False,,0,14,0,1,3,2,-1,4 7 15 22 28 32,False,4,20,4,True
8,requires_adjacent_nonconflict_pair,2,False,,0,27,1,2,2,1,-1,4 7 22 28,True,4,20,1,True
8,requires_adjacent_nonconflict_pair,3,False,,2,13,3,0,1,1,0,4 7,True,4,20,6,False
8,requires_adjacent_nonconflict_pair,4,False,,1,5,2,3,1,1,0,4 7,True,4,20,1,False
8,requires_adjacent_nonconflict_pair,5,False,,0,3,1,2,1,0,-1,4 7,True,4,20,1,True
9,requires_adjacent_nonconflict_pair,0,False,,0,13,2,1,8,5,-3,2 13 14 15 16 25 26 28 29 38 39 43,False,4,20,2,True
9,requires_adjacent_nonconflict_pair,1,False,,0,12,2,3,5,4,-1,2 13 15 25 26 29 38 39,False,4,20,1,True
9,requires_adjacent_nonconflict_pair,2,False,,1,20,3,2,4,4,0,2 15 25 26 38 39,True,4,20,3,False
9,requires_adjacent_nonconflict_pair,3,False,,0,14,0,3,4,2,-2,2 15 25 26 38 39,True,4,20,1,True
9,requires_adjacent_nonconflict_pair,4,False,,1,23,0,3,2,2,0,2 25 39,True,4,20,2,False
9,requires_adjacent_nonconflict_pair,5,False,,0,24,2,0,2,0,-2,2 25 39,True,4,20,1,True
10,requires_adjacent_nonconflict_pair,0,False,,0,0,0,2,7,5,-2,1 2 3 4 9 17 19 26 28 31 39,False,4,20,4,True
10,requires_adjacent_nonconflict_pair,1,False,,0,3,1,3,5,3,-2,2 3 4 9 17 28 31 39,False,4,20,3,True
10,requires_adjacent_nonconflict_pair,2,False,,0,16,0,2,3,1,-2,2 9 17 28 39,True,4,20,1,True
10,requires_adjacent_nonconflict_pair,3,False,,1,7,0,2,1,1,0,2 28,True,4,20,13,False
10,requires_adjacent_nonconflict_pair,4,False,,2,4,2,1,1,1,0,2 28,True,4,20,13,False
10,requires_adjacent_nonconflict_pair,5,False,,1,31,0,2,1,1,0,2 28,True,4,20,1,False
10,requires_adjacent_nonconflict_pair,6,False,,0,1,1,0,1,0,-1,2 28,True,4,20,1,True
